Borough,2010_total_population,2010_population_18_years_and_over,2010_total_households,2010_family_households,2010_average_persons_per_family,2010_total_housing_units,2010_occupied_housing_units,2010_owner_occupied_units,2000_total_population,2000_population_18_years_and_over,2000_total_households,2000_family_households,2000_average_persons_per_family,2000_total_housing_units,2000_occupied_housing_units,2000_owner_occupied_units
Bronx,1385108,1016912,483449,322604,3.38765793,511896,483449,93101,1332650,935278,463212,315090,3.37,490659,463212,90687
Brooklyn,2504700,1910322,916856,573363,3.40605515,1000293,916856,254241,2465326,1802827,880727,584120,3.41,930866,880727,238367
Manhattan,1585873,1351438,763846,308828,2.94361586,847090,763846,173961,1537195,1279279,738644,301970,2.99,798144,738644,148732
Queens,2230722,1768821,780117,526875,3.40198529,835127,780117,335454,2229379,1720155,782664,537991,3.39,817250,782664,334815
Staten_Island,468730,359529,165516,118551,3.34057916,176656,165516,106135,443728,330470,156341,114052,3.31,163993,156341,99695
